LarvaeMorphID,CilType,Area,MajorAxisLength,MaxFeretDiameter,MinFeretDiameter,MinorAxisLength,Perimeter,Batch
J044_B1_18,Extent,9506,577.7507018,470.2307944,128.9081737,139.3178344,1185.982,B1
J044_B1_19,Area,4232,100.6111686,101.414989,58.13776741,54.71009402,267.744,B1
J044_B1_19,Extent,771,51.74800191,47.67598976,18.01509396,19.35165018,119.834,B1
J044_B1_21,Area,24531,433.4774912,432.3482393,129.5759138,114.1947386,1118.696,B1
J044_B1_21,Extent,6270,398.1815766,343.5825956,65.79723598,66.40291458,790.736,B1
J046_B1_10,Area,55476,848.5479025,657.2381608,371.5118101,355.521055,2206.64,B1
J046_B1_10,Extent,15657,795.6741759,573.6898117,302.3706859,356.8959147,1937.584,B1
J046_B1_16,Area,17501,390.0063319,340.4115157,115.4186084,98.23059356,933.384,B1
J046_B1_16,Extent,7039,403.5091984,345.6153932,93.57698189,92.22329337,877.818,B1
J046_B1_17,Area,54162,674.0002902,633.8154305,292.8901901,228.9976982,1862.374,B1
J046_B1_17,Extent,10275,605.0886613,498.7183574,152.9372161,170.4781963,1272.146,B1
J046_B1_21,Area,1925,62.57474362,60.40695324,39.60939559,40.44550101,173.872,B1
J046_B1_21,Extent,654,43.68254756,41,19.13090904,19.52333986,106.076,B1
J046_B1_25,Area,72864,733.5985572,662.1819992,313.2111676,275.0469054,2009.05,B1
J046_B1_25,Extent,10848,612.9619892,482.9430608,174.9418867,199.821226,1330.644,B1
J049_B1_1,Area,59511,788.3385256,652.2737156,273.9376144,242.9569016,1898.234,B1
J049_B1_1,Extent,11365,655.8513731,543.5678431,174.8874648,193.3603163,1385.852,B1
J049_B1_2,Area,64294,581.7902395,511.2885682,285.7599929,223.3087074,1743.318,B1
J049_B1_2,Extent,9181,534.4359181,446.4302857,134.3941897,151.120017,1133.6,B1
J049_B1_3,Area,15771,248.6428612,240.8651075,109.6734205,97.3370512,638.634,B1
J049_B1_3,Extent,4150,269.3224732,234.4120304,35.35222614,30.71272793,528.494,B1
J049_B1_4,Area,40802,370.7889949,381.9581129,177.6149117,156.3498042,1038.594,B1
J049_B1_4,Extent,4060,265.1817991,231.4584196,34.55899676,28.82131439,509.92,B1
J049_B1_5,Area,28560,291.5102677,287.6473535,161.3778627,140.778504,788.57,B1
J049_B1_5,Extent,4265,275.8357675,239.1024885,39.02346405,37.21000765,537.196,B1
J049_B1_7,Area,9736,191.8270334,178.4404663,74.99267096,68.30894305,461.284,B1
J049_B1_7,Extent,2825,183.1519612,160.8601877,28.7399627,25.11135477,364.66,B1
J049_B1_9,Area,55952,780.3085721,613.9462517,334.5810022,344.546721,2088.348,B1
J049_B1_9,Extent,18,8.189734744,7.280109889,2.42535625,2.894193333,19.726,B1
J049_B1_9,Extent,42,10.40597627,9.219544457,4,5.318970561,27.484,B1
J049_B1_9,Extent,14398,726.6527729,528.5007096,280.9463264,329.5135556,1778.96,B1
J049_B1_11,Area,8205,201.9501272,182.7046797,59.25072932,56.48196298,458.864,B1
J049_B1_11,Extent,3160,205.1295555,179.4129315,29.89083269,26.17047138,409.208,B1
J049_B1_13,Area,50808,440.7604133,436.6062299,238.4974144,203.4719739,1349.638,B1
J049_B1_13,Extent,6808,414.4050135,347.2203911,95.53179253,95.45335026,844.456,B1
J052_B1_1,Area,15239,173.9597201,177.2907217,116.7347532,116.4756768,510.048,B1
J052_B1_1,Extent,2605,173.813362,152.8168839,23.71668463,21.81962672,349.998,B1
J052_B1_2,Area,87558,828.5219646,756.4000264,385.8296752,367.426944,2662.204,B1
J052_B1_2,Extent,14447,739.7631183,557.7239461,280.1987214,330.3370468,1780.604,B1
J052_B1_3,Area,38476,659.6886701,644.8829351,213.6383381,199.218744,1679.318,B1
J052_B1_3,Extent,11090,622.4693156,498.5549117,177.5591102,204.0832725,1371.038,B1
J052_B1_8,Area,22048,409.910756,372.8283787,127.4397897,113.7175702,984.11,B1
J052_B1_8,Extent,6565,409.5221738,348.1910395,78.88379704,79.1319191,818.608,B1
J052_B1_11,Area,17688,723.8385762,535.7686068,132.1519029,131.7092593,1333.51,B1
J052_B1_11,Extent,9484,557.7862938,457.1968941,149.376784,165.2068707,1176.798,B1
J052_B1_12,Area,54171,922.3150629,714.4403404,319.68509,273.5771931,2348.002,B1
J052_B1_12,Extent,13272,713.3442751,555.0900828,245.1907459,285.879892,1658.832,B1
J052_B1_13,Area,9588,217.8753988,173.4416328,87.63569483,86.26206438,554.252,B1
J052_B1_13,Extent,2373,157.1661683,138.2316896,24.22809551,22.05698692,315.514,B1
J052_B1_16,Area,38604,386.9161692,350.6821923,210.3961109,175.0244212,1215.192,B1
J052_B1_16,Extent,5585,351.7269431,302.8035667,63.29761427,63.38951068,696.66,B1
J054_B1_1,Area,21496,931.7990459,687.3638047,281.317113,387.6714901,2074.742,B1
J054_B1_1,Extent,15077,797.3912024,584.8290348,269.4264051,322.4512925,1876.17,B1
J054_B1_2,Area,44764,786.619106,671.0178835,282.3199587,279.5482748,2086.016,B1
J054_B1_2,Extent,13684,745.6924763,582.9107994,248.3169387,285.5231976,1690.158,B1
J054_B1_5,Area,2029,59.53964437,59.8414572,44,44.67504642,172.496,B1
J054_B1_5,Extent,691,46.88349219,43.01162634,18.76491188,19.38013261,110.598,B1
J054_B1_7,Area,30247,405.7269272,383.191858,155.6965713,136.0945469,1058.288,B1
J054_B1_7,Extent,6487,414.4848777,356.0463453,66.43037372,65.67280562,814.328,B1
J054_B1_8,Area,18475,284.5515202,274.5541841,120.7383553,105.5785786,755.602,B1
J054_B1_8,Extent,4068,264.2467957,231.4000864,38.18278102,33.98917264,520.226,B1
J054_B1_9,Area,45542,983.4875754,703.354818,353.0316453,404.5075373,2362.716,B1
J054_B1_9,Extent,17321,841.6483242,594.757934,350.3073261,420.3252586,2142.27,B1
J054_B1_10,Area,13956,482.4364172,387.2531472,78.04695955,63.74205055,953.474,B1
J054_B1_10,Extent,6051,392.0180012,338.7742611,53.0407309,48.22625734,764.812,B1
J054_B1_13,Area,21872,254.3779149,271.2286858,144.8183886,140.1023119,836.672,B1
J054_B1_13,Extent,3314,218.758174,193.3416665,24.42321672,22.27493474,427.12,B1
J057_B1_2,Area,113463,789.2183695,753.4036103,445.7090743,386.0136291,2663.556,B1
J057_B1_2,Extent,14765,767.0115053,560.2231698,277.3499912,319.4638737,1813.75,B1
J057_B1_3,Area,52611,826.3374215,686.0029154,293.6896287,301.8293171,2059.546,B1
J057_B1_3,Extent,13173,718.8197033,545.4557727,235.4317389,272.1167348,1638.528,B1
J057_B1_4,Area,71010,940.2739056,778.3399,303.8002355,328.4762763,2406.792,B1
J057_B1_4,Extent,14021,757.0799395,589.4378678,250.2588429,292.4549481,1743.622,B1
J057_B1_6,Area,72560,959.3950224,745.721798,349.432356,376.7951114,2526.728,B1
J057_B1_6,Extent,16011,820.9333617,589.8016616,310.1414901,362.0107768,1980.73,B1
J057_B1_7,Area,54405,843.3579198,646.2723884,351.89014,317.2969034,2375.798,B1
J057_B1_7,ent,14271,728.0475587,553.5133241,265.1431196,314.7818992,1751.216,B1
J057_B1_8,Area,10783,210.8900243,201.8539076,74.03749319,69.57766817,530.788,B1
J057_B1_8,Extent,3171,207.1637196,182.7840256,22.49942069,21.19310664,408.432,B1
J066_B1_3,Area,79504,837.0465599,823.9496344,342.3931686,346.0120422,2447.48,B1
J066_B1_3,Extent,15430,818.2322523,649.3843238,262.4305354,315.6622976,1875.992,B1
J066_B1_4,Area,30253,620.5288183,505.8191376,233.5305458,209.4582861,1741.904,B1
J066_B1_4,Extent,8976,544.950868,455.6862956,128.0268795,141.7717098,1121.448,B1
J066_B1_5,Area,28206,365.1327391,370.6818042,162.8977747,136.9582242,1051.778,B1
J066_B1_5,Extent,5555,346.9261966,304.1134657,71.51099162,73.61201673,697.538,B1
J066_B1_6,Area,63412,408.1456905,441.1303662,249,222.7326572,1259.944,B1
J066_B1_6,Extent,5683,363.3853477,315.4060874,52.60925667,52.47334141,711.552,B1
J066_B1_7,Area,32182,753.2874613,561.0151513,240.1094599,223.3297189,1818.986,B1
J066_B1_7,Extent,11526,636.8170919,501.4229751,196.8159982,224.6407717,1417.102,B1
J066_B1_10,Area,18491,363.5773156,343.1413703,118.9871317,99.37317867,964.314,B1
J066_B1_10,Area,45320,538.1307132,544.8908148,199.2770848,160.484942,1512.522,B1
J066_B1_10,Area,36,9.349270747,9.055385138,4,5.022063374,24.968,B1
J066_B1_10,Area,14,6.131097548,5.099019514,2,2.936975789,16.07,B1
J066_B1_10,Area,15,5.552194589,4.472135955,2.683281573,3.554055827,15.656,B1
J066_B1_10,Area,4,2.916356057,2,1,1.822720681,6.656,B1
J066_B1_10,Area,10,4.183533356,3.16227766,2,3.080842595,11.656,B1
J066_B1_10,Extent,14312,751.6848929,567.3737745,261.6896925,306.9371672,1748.986,B1
J066_B1_11,Area,13017,166.7727782,169.4254999,112.144262,106.9702846,485.31,B1
J066_B1_11,Extent,2592,170.7736926,151.6344288,22.98850185,21.38705388,341.948,B1
J068_B1_1,Area,33073,438.2764064,414.1605969,213.2686404,169.2549738,1180.492,B2
J068_B1_1,Extent,7505,459.2463619,391.9502519,95.86564049,102.4836099,919.346,B2
J068_B1_3,Area,6497,119.2622815,113.5649594,72.84289019,72.39231664,332.572,B2
J068_B1_3,Area,2243,61.6164889,62.76941931,44.82063702,47.14585874,181.706,B2
J068_B1_3,Area,5725,99.20224754,99.90495483,73.83144732,75.54289756,299.744,B2
J068_B1_3,Area,7048,111.0587259,108.5034562,80.35789259,84.11222476,328.432,B2
J068_B1_3,Extent,2063,134.9139405,120.6192356,22.5377901,21.57534624,275.324,B2
J068_B1_3,Extent,729,48.65319902,44.94441011,18.36871678,19.56784219,116.458,B2
J068_B1_3,Extent,1463,95.63589594,86.58521814,21.47692308,20.96351752,204.012,B2
J068_B1_3,Extent,1552,103.3323415,92.91393867,20.8281504,20.32437671,213.388,B2
J068_B1_4,Area,16809,286.1476112,255.3311575,107.1655172,93.19213068,685.666,B2
J068_B1_4,Area,50729,415.8121762,410.3327918,200.9793957,175.9960267,1132.072,B2
J068_B1_4,Area,2586,71.72454783,69.83552105,43.84062043,46.54965983,197.018,B2
J068_B1_4,Extent,5524,330.8616432,284.5698508,50.18272188,53.96541605,688.596,B2
J068_B1_4,Extent,5711,367.2397606,320.7771812,44.27768706,39.65010064,710.8,B2
J068_B1_4,Extent,548,37.19425423,34.40930107,16.97056275,19.11688857,93.044,B2
J068_B1_7,Area,35966,581.6938542,494.629154,201.4829544,176.7062113,1367.32,B2
J068_B1_7,Extent,9350,549.6319226,460.7830292,137.1005797,151.8232999,1151.066,B2
J068_B1_10,Area,77469,739.6291563,664.1596194,348.6524328,323.9484733,1944.196,B2
J068_B1_10,Extent,12371,690.6705177,541.4914588,208.4344046,238.9458906,1527.114,B2
J068_B1_11,Area,10797,217.3607168,191.0235588,88.19002352,74.64926682,516.176,B2
J068_B1_11,Extent,3118,202.7333704,178.5329101,27.20610468,24.45382156,403.692,B2
J068_B1_12,Area,41230,383.4508719,400.4847063,203.9720226,181.5870958,1154.708,B2
J068_B1_12,Extent,5784,377.3006081,326.695577,50.2948675,44.36328646,735.64,B2
J068_B1_17,Area,30255,576.3945667,481.5184316,136.1266822,119.430367,1198.44,B2
J068_B1_17,Extent,8292,512.6690163,425.2293499,91.24277984,88.0239442,1019.562,B2
J068_B1_18,Area,57329,891.5964773,694.1361538,283.3415295,297.5376702,2084.87,B2
J068_B1_18,Extent,14388,777.5296066,591.8487983,248.71654,287.6459269,1759.406,B2
J068_B1_19,Area,47856,633.621839,564.0088652,243.9190773,237.6045244,1717.866,B2
J068_B1_19,Area,9306,145.0858834,141.2303084,87.55846456,86.94464927,408.024,B2
J068_B1_19,Extent,11132,604.9081384,466.4761516,191.3830881,198.1859666,1370.554,B2
J068_B1_19,Extent,2123,138.7646732,123.794184,25.70339102,23.01157413,280.598,B2
J070_B1_1,Area,4439,84.78829408,85.23496935,69.44326482,67.89542612,257.018,B2
J070_B1_1,Area,6254,117.6135803,121.8523697,73.87712581,69.9960481,338.024,B2
J070_B1_1,Extent,1165,76.87758639,69.4046108,18.8418478,19.94953735,165.846,B2
J070_B1_1,Extent,1183,77.81973163,70.57619995,20.93842898,20.52974103,171.324,B2
J070_B1_2,Area,61580,500.8089082,491.7418022,204.5105327,181.313386,1494.224,B2
J070_B1_2,Extent,5595,351.2473533,300.5411785,59.69933227,57.17493333,696.838,B2
J070_B1_8,Area,40162,482.4510242,430.0430211,160.8650886,136.2213057,1160.556,B2
J070_B1_8,Extent,6251,390.7802196,334.005988,73.94919921,73.01919923,787.958,B2
J070_B1_10,Area,6174,131.204969,129.3870164,72.08382329,68.47729884,369.4,B2
J070_B1_10,Extent,1608,105.1130712,94.9210198,22.74947168,21.19664739,220.356,B2
J070_B1_13,Area,25338,232.6517264,235.6374334,165.1412195,152.6064517,776.15,B2
J070_B1_13,Extent,3779,244.7996882,214.8883431,32.69184975,28.62098226,484.724,B2
J070_B1_14,Area,54552,442.9347541,427.948595,244.3830966,216.5605563,1238.224,B2
J070_B1_14,Extent,6274,400.206703,346.2369131,63.62511903,62.33241989,781.856,B2
J072_B1_1,Area,21870,407.0223782,336.8233959,113.7876425,92.41133951,878.34,B2
J072_B1_1,Extent,5459,351.4432509,304.7261065,52.82972239,49.01722288,687.156,B2
J072_B1_3,Area,5316,93.83214661,94.3716059,72.28,73.50720577,285.056,B2
J072_B1_3,Area,8926,141.1294539,148.1215717,89.26165539,82.86808227,388.164,B2
J072_B1_3,Area,6892,124.5135185,129.0038759,75.11321852,73.03400566,340.164,B2
J072_B1_3,Area,13460,235.761638,209.6783251,81.96375288,78.7882639,554.138,B2
J072_B1_3,Extent,1319,85.59560532,77.62087348,19.23047895,20.21527486,185.77,B2
J072_B1_3,Extent,1655,110.6447127,98.41239759,18.77001673,19.80790386,223.248,B2
J072_B1_3,Extent,1523,100.6734544,89.35882721,22.7179144,21.34488171,211.4,B2
J072_B1_3,Extent,3204,209.4053686,185.5855598,28.81488024,25.35218052,417.196,B2
J072_B1_4,Area,36672,340.9129624,327.9420681,186.0427686,167.7805996,1056.084,B2
J072_B1_4,Area,8685,205.9770626,180.8009956,57.03949195,57.21970233,456.188,B2
J072_B1_4,Extent,2909,194.2995372,170.6604817,20.36488319,20.23596352,379.424,B2
J072_B1_4,Extent,5154,325.6754109,287.7933286,45.18550366,37.32129048,650.124,B2
J072_B1_5,Area,9646,175.5457339,178.7092611,82.80484949,73.13074613,440.482,B2
J072_B1_5,Area,20077,178.7606893,193.3830396,151.9226485,148.1423672,579.73,B2
J072_B1_5,Area,68903,378.60251,398.5285435,314.6625176,264.1881226,1251.612,B2
J072_B1_5,Extent,2351,157.2564914,138.6001443,20.39703874,20.03889547,311.208,B2
J072_B1_5,Extent,1332,88.80631901,79.51100553,19.9712164,20.0961314,185.49,B2
J072_B1_5,Extent,5145,332.5846894,289.2766842,46.4374315,42.35069641,652.136,B2
J072_B1_7,Area,29844,276.8816001,307.8262497,190.1143117,165.6451044,951.346,B2
J072_B1_7,Extent,3431,224.4442248,196.8882932,25.90899734,22.7316369,443.144,B2
J072_B1_8,Area,74951,587.2683096,546.4430437,309.2972454,269.7574836,1816.146,B2
J072_B1_8,Extent,9498,574.0465757,474.2362281,126.150935,140.2875883,1172.556,B2
J072_B1_9,Area,40222,371.9663605,347.6377425,169.630939,149.4310247,927.448,B2
J072_B1_9,Extent,4774,307.4289353,269.8981289,48.14769568,45.96133108,603.628,B2
J072_B1_10,Area,18452,236.0897234,218.4490787,114.3837539,105.2005598,608.774,B2
J072_B1_10,Extent,3374,220.1102121,192.5201288,31.78702835,28.02652551,435.768,B2
J072_B1_12,Area,7700,116.3492803,128.4562182,87.91131895,86.2596841,354.788,B2
J072_B1_12,Area,35999,287.5524875,289.2905114,186.3558843,176.6398578,840.646,B2
J072_B1_12,Extent,1292,85.40309264,76.85050423,19.92056506,20.2186667,185.604,B2
J072_B1_12,Extent,4683,302.9506221,266.9569254,39.55081939,34.95684751,594.036,B2
J072_B1_13,Area,6546,123.655953,123.434193,67.75020155,69.81054032,330.75,B2
J072_B1_13,Area,2512,65.61042144,66.85057965,46,50.16270436,194.216,B2
J072_B1_13,Extent,1682,110.3431173,98.47842403,21.27386593,20.75631048,229.196,B2
J072_B1_13,Extent,725,47.44114129,44.14748011,20.00384578,20.06291403,113.49,B2
J073_B1_1,Area,12352,151.3335406,151.9210321,100.2315786,106.8380229,449.386,B2
J073_B1_1,Area,33946,673.7980372,550.5778782,179.1042393,158.0514566,1462.452,B2
J073_B1_1,Extent,1578,102.733432,91.43850392,21.09917649,20.96686466,213.438,B2
J073_B1_1,Extent,9728,559.3911652,461.6632972,152.6362398,166.1800153,1197.358,B2
J073_B1_3,Area,40097,506.2701589,470.9193137,212.8495548,176.4490219,1329.358,B2
J073_B1_3,Area,14686,225.3791721,219.8294794,97.2370723,88.46719061,560.8,B2
J073_B1_3,Extent,3424,222.4501116,195.3586445,32.91777281,28.93736889,441.972,B2
J073_B1_3,Extent,8554,515.7471553,433.664617,119.8703433,129.4058688,1064.722,B2
J073_B1_4,Area,23844,422.2084564,375.9694136,127.4505976,103.7559262,932.098,B2
J073_B1_4,Area,10402,163.9611893,154.1492783,87.62809963,84.85089049,434.928,B2
J073_B1_4,Extent,6111,384.3973744,331.7890896,76.64125751,78.76930118,767.258,B2
J073_B1_4,Extent,1840,123.2400184,108.7244223,23.62520642,21.57057971,251.234,B2
J073_B1_8,Area,8174,132.8929449,143.2201103,86.37904208,84.36736697,394.126,B2
J073_B1_8,Area,18864,282.8054778,260.1095923,108.1053273,96.20614988,684.124,B2
J073_B1_8,Extent,2050,134.4450181,119.8707637,28.55803992,25.63336721,277.744,B2
J073_B1_8,Extent,4052,263.178902,229.7128642,36.47644114,31.97861001,518.086,B2
J073_B1_10,Area,17453,292.5962494,271.4000737,93.2900832,84.26101947,675.984,B2
J073_B1_10,Area,20888,388.1611864,338.0014793,103.4901344,93.43811332,863.156,B2
J073_B1_10,Extent,3889,253.2413739,219.1072797,40.28033859,35.63662142,497.806,B2
J073_B1_10,Extent,4644,298.5071888,260.5091169,44.02291078,39.64489251,587.96,B2
J073_B1_11,Area,8627,183.6514217,172.7541606,72.93529456,67.77819042,444.61,B2
J073_B1_11,Extent,2820,182.8582643,161.8177988,28.27345635,24.42502544,366.814,B2
J073_B1_13,Area,36972,587.3845849,543.2531638,210.9523461,192.263933,1446.02,B2
J073_B1_13,Extent,9360,558.5141297,446.4011649,131.2440877,143.875692,1153.6,B2
J073_B1_15,Area,16907,282.174233,263.8275952,117.2932134,98.45649505,705.882,B2
J073_B1_15,Area,15093,214.6925083,197.7169694,90.97606762,92.67200816,548.876,B2
J073_B1_15,Extent,4622,290.9690912,250.4156545,56.80296196,55.50374263,590.188,B2
J073_B1_15,Extent,3178,203.9852107,177.2596965,39.9523156,36.5188715,413.004,B2
J073_B1_16,Area,12530,230.8211423,209.0095692,87.36103729,78.78347801,599.666,B2
J073_B1_16,Extent,3040,193.2705333,169.2601548,36.82658325,31.40040993,393.132,B2
J073_B1_17,Area,8677,172.4541337,165.2755275,73.73729083,68.48738188,437.106,B2
J073_B1_17,Area,36291,572.0190444,498.4024478,191.2445757,167.5323155,1427.522,B2
J073_B1_17,Extent,2730,181.0851843,159.7779709,23.06941576,21.15481339,364.24,B2
J073_B1_17,Extent,9000,538.3694729,449.2593906,126.9289755,145.8313159,1118.848,B2
J076_B1_1,Area,27613,308.0620914,306.3233586,137.0398288,125.6236898,874.99,B2
J076_B1_1,Extent,3945,255.306413,224.6174526,36.74873101,32.64110751,500.648,B2
J076_B1_2,Area,4516,106.4435441,103.8171469,60.20957691,57.63876223,290.368,B2
J076_B1_2,Extent,1763,117.1480721,104.6947945,20.30609082,20.39255803,245.056,B2
J076_B1_4,Area,19840,342.0708642,321.3378285,128.8299797,102.2004806,925.996,B2
J076_B1_4,Extent,4455,285.4479838,249.2428535,45.66609135,42.31776662,567.718,B2
J076_B1_5,Extent,2338,153.45166,136.3084737,22.54968948,21.29705004,311.362,B2
J076_B1_6,Area,5715,94.59070094,97.41663102,80.95649319,80.59120379,302.75,B2
J076_B1_6,Area,15544,197.9440496,191.4706244,117.2566885,109.5557664,577.628,B2
J076_B1_6,Area,2268,76.01322933,71.86793444,37.58839635,39.10374692,198.98,B2
J076_B1_6,Extent,1431,94.63980936,85.08818954,18.33575742,19.9370825,202.776,B2
J076_B1_6,Extent,2995,195.1952941,172.1540008,25.34705846,21.84817228,391.858,B2
J076_B1_6,Extent,788,51.86789738,48.10405388,18.48431807,19.71435255,122.7,B2
J076_B1_7,Area,11207,231.1790726,213.1900561,77.25950486,67.3020939,531.068,B2
J076_B1_7,Area,11364,160.7193026,160.8508626,123.8850657,112.2244295,544.074,B2
