ImageID,JarID,MaxFeretDiamPix,MaxFeretDiamum,MorphNotes,PerimeterPix,Perimeterum,SurfaceAreaPix2,SurfaceAreaum2
9,J059_B1,682.1092288,76.81410234,,2157.66,242.9797297,328827,4170.052654
10,J059_B1,684.5728595,77.09153823,,2102.806,236.8024775,313308,3973.246896
1,J060_B1,575.646593,64.82506678,,1722.948,194.0256757,204495,2593.323898
2,J060_B1,540.0268512,60.81383459,,1721.368,193.8477477,210926,2674.879271
3,J060_B1,566.8050811,63.82940102,,1762.858,198.520045,218394,2769.585464
5,J060_B1,532.319453,59.94588435,,1669.254,187.9790541,195859,2483.805596
6,J060_B1,538.1570403,60.6032703,,1649.852,185.7941441,188539,2390.97628
8,J060_B1,569.6920221,64.15450699,,1798.362,202.5182432,228743,2900.827348
11,J060_B1,577.5205624,65.03609937,,1780.628,200.5211712,221910,2814.173971
12,J060_B1,610.8109364,68.78501536,,1904.374,214.4565315,251193,3185.529279
13,J060_B1,549.3050155,61.85867292,,1710.694,192.6457207,201897,2560.3771
15,J060_B1,569.2213981,64.1015088,,1802.03,202.9313063,224951,2852.738718
1,J061_B1,654.1070249,73.660701,,2037.328,229.4288288,288904,3663.765116
2,J061_B1,689.9927536,77.70188667,,2170.322,244.4056306,327100,4148.15153
3,J061_B1,662.9419281,74.65562253,,2118.742,238.5970721,309075,3919.565681
4,J061_B1,683.2400749,76.94144988,,2150.742,242.2006757,316899,4018.786523
5,J061_B1,709.9753517,79.95217925,,2196.144,247.3135135,340289,4315.409159
6,J061_B1,704.9347488,79.38454378,,2190.206,246.6448198,336873,4272.088812
7,J061_B1,650.8340802,73.29212615,,2060.258,232.011036,291380,3695.164759
8,J061_B1,657.9984802,74.09892795,,2065.952,232.6522523,298511,3785.597253
9,J061_B1,674.6058108,75.96912284,,2113.354,237.9903153,308572,3913.186835
10,J061_B1,682.9736452,76.91144653,,2156.36,242.8333333,317559,4027.156379
2,J062_B1,594.3904441,66.93586082,,1853.19,208.6925676,240755,3053.158733
4,J062_B1,576.378348,64.90747162,,1770.654,199.397973,219075,2778.221634
6,J062_B1,617.324064,69.51847568,,1879.126,211.6132883,245633,3115.01958
7,J062_B1,572.5906042,64.4809239,,1813.266,204.1966216,229986,2916.590577
8,J062_B1,538.7132818,60.66591011,,1715.458,193.1822072,207021,2625.357621
9,J062_B1,607.9284497,68.460411,,1915.354,215.693018,258428,3277.280659
11,J062_B1,557.2943567,62.7583735,,1754.03,197.5259009,216886,2750.46161
12,J062_B1,614.4688763,69.19694553,,1895.214,213.425,253808,3218.691665
13,J062_B1,572.1477082,64.43104822,,1783.954,200.8957207,220213,2792.653295
14,J062_B1,579.8249736,65.29560514,,1743.584,196.3495495,212846,2699.227944
1,J063_B1,657.5545605,74.04893699,,2075.66,233.7454955,300576,3811.784758
2,J063_B1,677.461438,76.29070248,,2124.71,239.2691441,308803,3916.116285
3,J063_B1,656.2088082,73.89738831,,2032.208,228.8522523,284346,3605.962381
4,J063_B1,667.8113506,75.20398092,,2122.894,239.0646396,312574,3963.938601
5,J063_B1,654.8419657,73.74346461,,2002.654,225.5240991,281972,3575.856262
6,J063_B1,658.8368539,74.1933394,,2115.558,238.2385135,303187,3844.896417
7,J063_B1,681.3582024,76.7295273,,2146.028,241.6698198,318186,4035.107743
8,J063_B1,659.273843,74.24254989,,2038.614,229.5736486,293315,3719.703656
9,J063_B1,673.7514378,75.87290966,,2164.92,243.7972973,324125,4110.423768
10,J063_B1,655.4464128,73.81153297,,2071.686,233.297973,303574,3849.804196
1,J064_B1,652.7541651,73.50835193,,2049.266,230.7731982,293917,3727.33798
2,J064_B1,654.6059884,73.71689059,,2026.742,228.2367117,288573,3659.567507
3,J064_B1,672.7035008,75.75489874,,2086.514,234.9677928,303902,3853.963761
4,J064_B1,658.1527178,74.11629705,,2012.68,226.6531532,279454,3543.923992
5,J064_B1,669.126296,75.35206036,,2074.068,233.5662162,296599,3761.350032
6,J064_B1,658.3684379,74.14058985,,2055.762,231.5047297,292777,3712.880955
7,J064_B1,646.0232194,72.75036255,,2045.442,230.3425676,292658,3711.371845
8,J064_B1,652.0506115,73.42912292,,2062.998,232.3195946,294985,3740.881929
9,J064_B1,650.8486767,73.2937699,,2041.672,229.918018,289997,3677.626106
10,J064_B1,672.1458175,75.69209657,,2104.692,237.0148649,302896,3841.206071
1,J065_B1,623.3538321,70.19750361,,1916.106,215.7777027,255971,3246.121967
3,J065_B1,591.8868135,66.65392044,,1829.278,205.9997748,229792,2914.130347
4,J065_B1,555.4394656,62.54948937,,1714.56,193.0810811,205521,2606.33522
7,J065_B1,600.6371617,67.63932001,,1848.246,208.1358108,235275,2983.663562
9,J065_B1,580.9853699,65.42628039,,1802.158,202.9457207,228051,2892.05168
12,J065_B1,632.3827955,71.21427877,,1912.208,215.3387387,251316,3187.089116
13,J065_B1,585.1768963,65.89829913,,1823.698,205.3713964,229092,2905.253226
15,J065_B1,568.9402429,64.06984717,,1746.986,196.7326577,211030,2676.198158
16,J065_B1,587.4019067,66.14886337,,1804.552,203.2153153,229516,2910.630225
17,J065_B1,591.4220151,66.60157828,,1860.782,209.5475225,240514,3050.102467
3,J066_B1,599.0166943,67.45683494,,1853.66,208.7454955,237257,3008.798494
4,J066_B1,553.0325488,62.27844018,,1729.52,194.7657658,208140,2639.548332
5,J066_B1,551.130656,62.06426306,,1773.228,199.6878378,218133,2766.275566
6,J066_B1,551.8496172,62.14522716,,1724.45,194.1948198,204478,2593.108311
7,J066_B1,544.2251372,61.28661455,,1728.272,194.6252252,208691,2646.535894
9,J066_B1,522.0670455,58.79133395,,1608.834,181.175,180595,2290.233646
10,J066_B1,555.9217571,62.60380148,,1736.616,195.5648649,209865,2661.424093
11,J066_B1,548.624644,61.7820545,,1718.4,193.5135135,202488,2567.871926
12,J066_B1,571.5776413,64.3668515,,1802.91,203.0304054,227004,2878.774044
13,J066_B1,588.6025824,66.28407459,,1834.018,206.5335586,233770,2964.577753
1,J069_B1,690.0557948,77.7089859,,2176.998,245.1574324,333741,4232.370039
2,J069_B1,681.9098181,76.79164618,,2100.78,236.5743243,303473,3848.523354
3,J069_B1,697.2589189,78.52014852,,2184.13,245.9605856,326874,4145.285488
4,J069_B1,654.7648433,73.73477965,,2072.092,233.3436937,298531,3785.850885
5,J069_B1,735.1584863,82.78811783,,2263.034,254.8461712,353424,4481.981982
6,J069_B1,703.2794608,79.19813748,,2195.01,247.1858108,330793,4194.984681
7,J069_B1,644.6650293,72.59741321,,2032.232,228.854955,286994,3639.543259
8,J069_B1,692.2499549,77.956076,,2211.646,249.0592342,338258,4289.652829
9,J069_B1,692.7409328,78.01136631,,2120.614,238.8078829,309966,3930.864987
10,J069_B1,673.2495823,75.8163944,,2088.448,235.1855856,303767,3852.251745
1,J070_B1,571.9694048,64.41096901,,1808.362,203.6443694,227711,2887.739936
2,J070_B1,566.0185509,63.7408278,,1738.45,195.7713964,214336,2718.123529
4,J070_B1,519.0394975,58.45039386,,1637.012,184.3481982,188549,2391.103096
5,J070_B1,549.6517079,61.89771485,,1680.362,189.229955,197073,2499.201059
8,J070_B1,528.5196307,59.51797643,,1693.406,190.6988739,200180,2538.602792
9,J070_B1,576.2100312,64.88851703,,1741.814,196.1502252,208151,2639.68783
10,J070_B1,528.1609603,59.47758562,,1601.076,180.3013514,176593,2239.481881
11,J070_B1,580.3180163,65.35112796,,1796.286,202.2844595,223651,2836.252638
13,J070_B1,546.9488093,61.59333438,,1752.604,197.3653153,211965,2688.055454
14,J070_B1,622.3961761,70.08965947,,1939.43,218.4042793,260793,3307.272644
2,J071_B1,655.8353452,73.85533167,,2065.838,232.6394144,294888,3739.651814
3,J071_B1,703.6931149,79.24472015,,2234.258,251.6056306,345155,4377.117827
4,J071_B1,639.6350522,72.03097435,,2030.438,228.6529279,285263,3617.591409
5,J071_B1,716.5430901,80.69178943,,2244.524,252.7617117,356513,4521.155446
6,J071_B1,692.3994512,77.97291117,,2163.646,243.6538288,327113,4148.316391
7,J071_B1,699.4812363,78.77040949,,2145.736,241.6369369,315859,4005.597658
8,J071_B1,679.1207551,76.47756251,,2143.792,241.418018,316218,4010.150353
10,J071_B1,684.1878397,77.04818015,,2093.978,235.8083333,309534,3925.386535
11,J071_B1,708.7996896,79.81978486,,2208.728,248.7306306,342162,4339.161797
12,J071_B1,678.8725948,76.44961653,,2151.38,242.2725225,324187,4111.210028
1,J072_B1,609.8130861,68.67264483,,1906.476,214.6932432,256046,3247.073087
3,J072_B1,562.7397267,63.37159084,,1751.292,197.2175676,216651,2747.481434
4,J072_B1,584.5237378,65.82474525,,1787.992,201.3504505,220013,2790.116975
5,J072_B1,592.9123038,66.76940358,,1848.578,208.1731982,238724,3027.402402
7,J072_B1,604.6651966,68.09292755,,1870.858,210.6822072,243656,3089.948056
8,J072_B1,595.7331617,67.08706776,,1836.642,206.8290541,236398,2997.905
9,J072_B1,600.0833275,67.5769513,,1894.666,213.3632883,250383,3175.257183
10,J072_B1,615.5664058,69.32054119,,1921.508,216.386036,261217,3312.649643
12,J072_B1,582.8104323,65.63180544,,1815.19,204.4132883,232254,2945.352447
13,J072_B1,522.4653099,58.83618355,,1647.598,185.5403153,190066,2410.341084
1,J073_B1,552.196523,62.18429313,,1740.4,195.990991,214040,2714.369775
3,J073_B1,560.6317865,63.13421019,,1782.642,200.747973,221176,2804.865676
4,J073_B1,533.4416557,60.07225852,,1668.668,187.9130631,195637,2480.990281
8,J073_B1,550.6105702,62.00569484,,1747.802,196.8245495,214170,2716.018383
10,J073_B1,573.6941694,64.60519926,,1755.858,197.7317568,211336,2680.078727
11,J073_B1,558.3153231,62.8733472,,1682.502,189.4709459,195588,2480.368882
