CiliaTotalCount,DateCilCount,JarID,NumCilia,NumNoCilia,PercentCilia,PersonCilCount
30,20200104,J109_B1,2,28,0.066666667,Ava
30,20200104,J110_B1,23,7,0.766666667,Ava
30,20200104,J111_B1,11,19,0.366666667,Ava
30,20200104,J112_B1,20,10,0.666666667,Ava
30,20200104,J113_B1,3,27,0.1,Ava
30,20200104,J114_B1,30,0,1,Ava
30,20200104,J115_B1,9,21,0.3,Ava
30,20200104,J116_B1,27,3,0.9,Ava
30,20200104,J117_B1,12,18,0.4,Ava
30,20200104,J118_B1,25,5,0.833333333,Ava
30,20200104,J119_B1,8,22,0.266666667,Ava
30,20200104,J120_B1,30,0,1,Ava
31,20200104,J121_B1,11,20,0.35483871,Ava
39,20200104,J122_B1,34,5,0.871794872,Ava
30,20200104,J123_B1,5,25,0.166666667,Ava
31,20200104,J124_B1,24,7,0.774193548,Ava
30,20200104,J125_B1,4,26,0.133333333,Ava
38,20200104,J126_B1,32,6,0.842105263,Ava
35,20200104,J127_B1,30,5,0.857142857,Ava
30,20200104,J128_B1,30,0,1,Ava
30,20200104,J129_B1,2,28,0.066666667,Ava
30,20200104,J130_B1,4,26,0.133333333,Ava
30,20200104,J131_B1,13,17,0.433333333,Ava
35,20200104,J132_B1,27,8,0.771428571,Ava
30,20200104,J133_B1,1,29,0.033333333,Ava
33,20200104,J134_B1,18,15,0.545454546,Ava
31,20200104,J135_B1,7,24,0.225806452,Ava
38,20200104,J136_B1,28,10,0.736842105,Ava
31,20200104,J137_B1,3,28,0.096774194,Ava
,,J138_B1,,,,
30,20200104,J139_B1,6,24,0.2,Ava
,,J140_B1,,,,
,,J141_B1,,,,
,,J142_B1,,,,
,,J143_B1,,,,
,,J144_B1,,,,
,,J145_B1,,,,
,,J146_B1,,,,
,,J147_B1,,,,
,,J148_B1,,,,
,,J149_B1,,,,
,,J152_B1,,,,
,,J153_B1,,,,
,,J154_B1,,,,
,,J155_B1,,,,
,,J156_B1,,,,
,,J157_B1,,,,
,,J158_B1,,,,
,,J159_B1,,,,
,,J160_B1,,,,
,,J161_B1,,,,
,,J162_B1,,,,
,,J163_B1,,,,
,,J164_B1,,,,
,,J165_B1,,,,
,,J166_B1,,,,
,,J167_B1,,,,
,,J168_B1,,,,
,,J169_B1,,,,
,,J170_B1,,,,
