AccTankID,AccTankOrder,AdultDateAcclimation,AdultDateCollected,AdultDateExposed,AdultID,AdultLength,AdultSampleNotes,AdultTotalWeight,AdultWidth,TrtTankID,TrtTankOrder
28,1,20180607,20180605,20180615,L18A0001,2.71,NA,55.9,2.59,1,1
25,1,20180607,20180605,20180615,L18A0002,3.99,NA,172.12,2.81,4,1
29,2,20180607,20180605,20180615,L18A0003,2.95,NA,51.19,2.42,7,2
26,2,20180607,20180605,20180615,L18A0004,3.33,NA,52.2,2.09,10,2
27,3,20180607,20180605,20180615,L18A0005,4.38,dropped in transport,157.59,3.02,16,3
25,1,20180607,20180605,20180615,L18A0006,3.34,NA,61.75,2.32,22,4
26,2,20180607,20180605,20180615,L18A0007,1.9,NA,31,1.75,4,1
30,3,20180607,20180605,20180615,L18A0008,3.03,NA,53.2,1.96,13,3
28,1,20180607,20180605,20180615,L18A0009,3.97,NA,118.84,2.88,19,4
29,2,20180607,20180605,20180615,L18A0010,2.3,NA,37.4,1.8,1,1
27,3,20180607,20180605,20180615,L18A0011,3.24,NA,66.46,2.2,10,2
30,3,20180607,20180605,20180615,L18A0012,4.31,NA,150.75,3.22,7,2
25,1,20180607,20180605,20180615,L18A0013,2.13,NA,26.68,1.95,16,3
26,2,20180607,20180605,20180615,L18A0014,2.67,NA,45.45,1.98,22,4
27,3,20180607,20180605,20180615,L18A0015,3.58,NA,96.8,2.51,4,1
25,1,20180607,20180605,20180615,L18A0016,2.6,NA,38.32,1.9,10,2
28,1,20180607,20180605,20180615,L18A0017,3,NA,66.98,2.18,13,3
29,2,20180607,20180605,20180615,L18A0018,3.19,NA,59.13,2.45,19,4
26,2,20180607,20180605,20180615,L18A0019,2.48,NA,36.14,1.84,16,3
27,3,20180607,20180605,20180615,L18A0020,3.89,NA,111.81,2.5,22,4
30,3,20180607,20180605,20180615,L18A0021,1.91,NA,17.11,1.48,1,1
28,1,20180607,20180605,20180615,L18A0022,3.82,NA,160.69,2.7,7,2
29,2,20180607,20180605,20180615,L18A0023,2.59,NA,39.97,2.17,13,3
30,3,20180607,20180605,20180615,L18A0024,3.78,NA,82.9,2.43,19,4
28,1,20180607,20180605,20180615,L18A0025,2.39,NA,36,1.72,1,1
25,1,20180607,20180605,20180615,L18A0026,2.57,NA,48.49,1.92,4,1
26,2,20180607,20180605,20180615,L18A0027,2.19,NA,23.74,1.53,10,2
29,2,20180607,20180605,20180615,L18A0028,3.4,NA,61.85,2.08,7,2
30,3,20180607,20180605,20180615,L18A0029,3.4,NA,93.6,2.5,13,3
28,1,20180607,20180605,20180615,L18A0030,2.05,NA,25.27,1.59,19,4
29,2,20180607,20180605,20180615,L18A0031,3.18,NA,77.53,2.6,1,1
27,3,20180607,20180605,20180615,L18A0032,3.55,NA,67.49,2.08,16,3
25,1,20180607,20180605,20180615,L18A0033,2.25,NA,32.44,1.7,22,4
26,2,20180607,20180605,20180615,L18A0034,2.1,NA,29.5,1.9,4,1
30,3,20180607,20180605,20180615,L18A0035,2.68,NA,48.24,2.1,7,2
28,1,20180607,20180605,20180615,L18A0036,3.6,NA,67.91,2.45,13,3
27,3,20180607,20180605,20180615,L18A0037,2.2,NA,37.93,1.91,10,2
29,2,20180607,20180605,20180615,L18A0038,1.98,NA,28.88,1.6,19,4
