EggImageID,FemaleID,EggAreaPix2,EggAreaum2,EggCompactness,EggDiamum,EggEccentricity,EggExtent,EggFormFactor,EggMajorAxisLengthPix,EggMaxFeretDiameterPix,EggMaxRadiusPix,EggMeanRadiusPix,EggMedianRadiusPix,EggMinFeretDiameterPix,EggMinorAxisLengthPix,EggMorphNotes,EggObjectNumber,EggPerimeterPix,EggSolidity
EF07_B2_eggs-0028_outline,EF07_B2,185085,2340.843154,1.023198333,59.60477511,0.551512528,0.766607023,0.877531435,532.0356156,530.0056603,220.5130382,78.42364126,69.8140387,443.9098497,443.8063453,NA,1,1628.018,0.995297363
EF05_B3_eggs-0023_outline,EF05_B3,185105,2341.096102,1.075747915,62.90612267,0.633680086,0.722642983,0.799567819,561.9262254,559.3612428,203.931361,73.20232741,65.60487787,422.2012181,434.7034363,NA,1,1705.636,0.977018775
EF03_B3_eggs-0013_outline,EF03_B3,185153,2341.703177,1.001932638,56.3085376,0.333184118,0.783895578,0.896981661,498.928165,500.6955163,235.3571754,80.67790052,71.02112362,471.6402231,470.4202996,NA,1,1610.566,0.995285707
CF04_B3_eggs-0022_outline,CF04_B3,185364,2344.371778,1.005667983,57.5890716,0.408482418,0.785990205,0.89215137,507.7029703,512.0820247,229.9956521,80.14663027,70.72481884,460.8593583,463.4141049,NA,1,1615.84,0.995245625
EF03_B1_eggs-0006_outline,EF03_B1,185492,2345.990644,1.004760473,56.29786766,0.35198288,0.774496868,0.883840086,501.8024223,500.6006392,230.3584164,79.93024175,70.60453243,462.8549868,469.6902979,NA,1,1623.98,0.994091466
EF01_B2_eggs-0026_outline,EF01_B2,185909,2351.264608,1.005115583,57.48950016,0.415440749,0.788712497,0.889982774,509.1057339,511.1966354,231.354706,80.42690372,70.83784299,463,463.0928808,NA,1,1620.184,0.994367839
CF07_B2_eggs-0019_outline,CF07_B2,186185,2354.755289,1.001181429,55.92562522,0.290333137,0.791926126,0.896639888,496.6289871,497.2906595,236.4148895,80.97260679,71.19691005,473,475.2370086,NA,1,1615.356,0.995535237
CF05_B3_eggs-0009_outline,CF05_B3,186269,2355.81767,1.001918464,56.50058755,0.31281829,0.801984845,0.902587668,498.6920894,502.4032245,234.9744667,80.7702309,71.11258679,473,473.664225,NA,1,1610.388,0.994984189
EF03_B1_eggs-0024_outline,EF03_B1,186370,2357.095057,1.008220563,58.58778347,0.466762818,0.783851078,0.895651323,516.9673826,520.9625706,228.7116088,80.38979773,71,457.5676605,457.1969254,NA,1,1617.05,0.995422669
EF08_B3_eggs-0003_outline,EF08_B3,186403,2357.512421,1.00270812,57.03539724,0.351038766,0.782735583,0.892193453,502.4301303,507.1587523,234.1815535,80.79766832,71.16881339,472.8546886,470.4559423,NA,1,1620.324,0.995341088
CF07_B2_eggs-0030_outline,CF07_B2,186572,2359.649831,1.00110449,55.75473645,0.203474416,0.778713636,0.896735213,491.6522502,495.7711165,237.6404848,80.95680528,71.23552268,481.8586296,481.3670146,NA,1,1616.948,0.995491337
EF02_B3_eggs-0024_outline,EF02_B3,186646,2360.585738,1.001643773,56.60737281,0.312114707,0.772982912,0.891491511,499.0703007,503.352759,236.4000846,80.86443494,71.16881339,475.5415582,474.1389569,NA,1,1622.018,0.994498571
EF06_B3_eggs-0029_outline,EF06_B3,186755,2361.964304,1.005517965,56.56982527,0.321139984,0.771514027,0.894328585,500.9332553,503.0188863,232.1314283,80.28526939,70.9365914,470.2260095,474.3996907,NA,1,1619.916,0.995272913
CF05_B1_eggs-0017_outline,CF05_B1,187140,2366.833552,1.001305525,56.33290237,0.291878081,0.78932717,0.897554703,498.0485789,500.9121679,235.7222942,81.12078488,71.40028011,474.2438483,476.3613188,NA,1,1618.668,0.995343469
EF06_B2_eggs-0026_outline,EF06_B2,187161,2367.099147,1.011480637,58.39512578,0.487893353,0.757758317,0.885267509,521.8617186,519.2494584,226.3382425,80.0762779,70.80254233,454.6696603,455.5347879,NA,1,1629.954,0.995111136
EF06_B3_eggs-0013_outline,EF06_B3,187189,2367.453274,1.006642166,58.2550451,0.439957117,0.77881839,0.89332709,514.2016871,518.003861,231.1925604,80.67111458,71.16881339,464.1273162,461.7627735,NA,1,1622.706,0.995270592
CF02_B1_eggs_-0024_outline,CF02_B1,187524,2371.690151,1.000239214,55.6793747,0.172696135,0.787492441,0.896910109,491.2419405,495.1009998,241.006224,81.27598428,71.42128534,483,483.8611037,NA,1,1620.91,0.994484631
EF02_B3_eggs-0002_outline,EF02_B3,187590,2372.524879,1.011401556,59.52270811,0.503764973,0.779157667,0.891485666,524.7880643,529.2759205,228.002193,80.25519421,71,461.1018927,453.3333183,NA,1,1626.12,0.994212484
EF07_B2_eggs-0013_outline,EF07_B2,187733,2374.333457,1.000780253,56.43350604,0.267342878,0.783533252,0.895810615,496.9288707,501.8067357,238.9079321,81.32187821,71.55417528,479.0991915,478.8413883,NA,1,1622.808,0.995202451
EF03_B1_eggs-0018_outline,EF03_B1,187872,2376.091445,1.001368593,56.23313084,0.226679292,0.801997823,0.900073217,494.6890318,500.0249994,236.5459786,81.18409184,71.47027354,479.862298,481.8120065,NA,1,1619.56,0.995461735
EF04_B3_eggs-0012_outline,EF04_B3,187889,2376.306451,1.009216761,58.57904005,0.47190158,0.791218185,0.888987978,520.0300166,520.8848241,227.378539,80.48976503,71.06335202,455.3184155,458.4851059,NA,1,1629.7,0.995369855
CF05_B3_eggs-0020_outline,CF05_B3,187898,2376.420277,1.000323725,55.49189002,0.064910562,0.792256966,0.900538043,488.5868931,493.4338861,240.5535283,81.40987203,71.56814934,485,487.5565052,NA,1,1619.254,0.995362167
CF02_B1_eggs_-0001_outline,CF02_B1,188087,2378.810635,1.000686967,55.99771955,0.229503613,0.770737804,0.894450319,494.9671582,497.9317222,238.5225356,81.23325045,71.47027354,478.9787992,481.7554003,NA,1,1625.572,0.994185647
CF03_B2_eggs-0027_outline,CF03_B2,188179,2379.974195,1.000289097,55.54064227,0.166265144,0.790219833,0.90134588,491.8392032,493.8673911,240.2852472,81.38251592,71.56116265,484,484.9933341,NA,1,1619.738,0.995100618
