"CrossID","ParentTrt","MaleID","FemaleID","TrtTankID","MaleTrtTankID","AccTankID","Block","SatArag_ATDIC","MeanLarvSurvivedCon","SELarvSurvivedCon","MeanGPDCon","MeanLarvSurvivedExp","SELarvSurvivedExp","MeanGPDExp","RatSurv","RatGPD","SurvChange","OACont_Perc"
"CF01_CM01_B1_QG","400","CM01_B1","CF01_B1","16","4","27","B1",0.895,564.833333333333,8.70982842030261,4.01848992310417,457.166666666667,48.2669083787686,0.0423946614374968,0.809383298908234,0.0105498986556493,0.190616701091766,-0.190616701091766
"CF01_CM02_B1_QG","400","CM02_B1","CF01_B1","16","22","27","B1",0.895,700.166666666667,119.614078509922,3.79565766288194,645.833333333333,19.5370019308093,-0.596119357229169,0.92239942870745,-0.157052982690897,0.0776005712925502,-0.0776005712925502
"CF01_CM03_B1_QG","400","CM03_B1","CF01_B1","16","4","27","B1",0.895,771.666666666667,73.3810450850748,3.51347842510416,635,59.9249530663145,0.0474191497708318,0.822894168466522,0.0134963543342168,0.177105831533478,-0.177105831533478
"CF02_CM02_B1_QG","400","CM02_B1","CF02_B1","10","22","26","B1",0.835,832.833333333333,35.9563778919834,4.89647867268889,903.166666666667,9.44428104433813,0.758194268911112,1.08445067040224,0.154844801661262,-0.0844506704022421,0.0844506704022421
"CF02_CM03_B1_QG","400","CM03_B1","CF02_B1","10","4","26","B1",0.835,482.333333333333,64.182898379899,4.57581778591111,494.5,39.5042191839471,0.971726555577777,1.02522460262612,0.212361287324358,-0.0252246026261238,0.0252246026261238
"CF02_CM04_B1_QG","400","CM04_B1","CF02_B1","10","16","26","B1",0.835,389.333333333333,36.4946723661292,4.20090993513333,447.666666666667,41.1403424606283,1.18827627935556,1.14982876712329,0.282861641335771,-0.14982876712329,0.14982876712329
"CF03_CM03_B1_QG","400","CM03_B1","CF03_B1","10","4","25","B1",0.835,738.166666666667,57.0236305792997,2.71319211709402,624.5,24.1678160646206,-1.33162850890598,0.846014901783698,-0.490797721442678,0.153985098216302,-0.153985098216302
"CF03_CM04_B1_QG","400","CM04_B1","CF03_B1","10","16","25","B1",0.835,317,22.7870577302117,3.13515154864957,266.333333333333,38.4299507039901,-1.25949871690598,0.840168243953732,-0.401734556483719,0.159831756046268,-0.159831756046268
"CF03_CM05_B1_QG","400","CM05_B1","CF03_B1","10","10","25","B1",0.835,347.5,17.8629038326173,2.67287343964957,303.333333333333,5.4339467956337,-1.66717311301709,0.872901678657073,-0.623738141988371,0.127098321342927,-0.127098321342927
"CF04_CM01_B1_QG","400","CM01_B1","CF04_B1","16","4","27","B1",0.895,821.833333333333,67.1257112521805,4.59547951288889,623.833333333333,50.8070970545564,1.10482529711111,0.75907523828838,0.240415672404244,0.24092476171162,-0.24092476171162
"CF04_CM04_B1_QG","400","CM04_B1","CF04_B1","16","16","27","B1",0.895,567.833333333333,62.504888697694,4.45925983155556,547,18.6815416922694,0.751563117333332,0.963310830642795,0.168539880097356,0.0366891693572052,-0.0366891693572052
"CF04_CM05_B1_QG","400","CM05_B1","CF04_B1","16","10","27","B1",0.895,781.833333333333,28.1725832050319,4.03139755277778,720,10.2510162097879,0.435354789555554,0.920912385418888,0.107991033842737,0.0790876145811124,-0.0790876145811124
"CF05_CM01_B1_QG","400","CM01_B1","CF05_B1","10","4","25","B1",0.835,527.333333333333,30.2066953578912,4.93400223250617,462,20.1328918273887,1.42293386295062,0.876106194690266,0.288393437193047,0.123893805309734,-0.123893805309734
"CF05_CM02_B1_QG","400","CM02_B1","CF05_B1","10","22","25","B1",0.835,701.166666666667,22.6537953651136,4.8231958528395,540.666666666667,20.3558618366089,0.821530324728394,0.771095792726408,0.170329041115912,0.228904207273592,-0.228904207273592
"CF05_CM05_B1_QG","400","CM05_B1","CF05_B1","10","10","25","B1",0.835,676.333333333333,38.5587574719126,4.47841989228395,543.5,20.5365527779128,0.734713137617282,0.803597831444061,0.164056331315237,0.196402168555939,-0.196402168555939
