CrossID,ParentTrt,MaleID,FemaleID,MeanGPDControl,MeanGPDExposed,GPDDiff_(OA-Con)/Con,MeanLarvaeLengthCon,MeanLarvaeLengthExp,LengthDiff_(OA-Con)/Con,EggDiameter
CF01_CM02_B1_QG,400,CM02_B1,CF01_B1,3.795657663,-0.596119357,-1.157052983,76.23700338,63.06167232,-0.172820684,64.85003039
CF03_CM03_B1_QG,400,CM03_B1,CF03_B1,2.713192117,-1.331628509,-1.490797721,76.69557795,64.56111607,-0.158215926,68.5560016
CF03_CM04_B1_QG,400,CM04_B1,CF03_B1,3.135151549,-1.259498717,-1.401734556,77.96145625,64.77750545,-0.169108575,68.5560016
CF03_CM05_B1_QG,400,CM05_B1,CF03_B1,2.67287344,-1.667173113,-1.623738142,76.57462192,63.55448226,-0.170032046,68.5560016
CF06_CM01_B1_QG,400,CM01_B1,CF06_B1,3.164383197,-1.061386591,-1.33541658,74.10713394,61.42982457,-0.171067328,64.61398435
CF06_CM02_B1_QG,400,CM02_B1,CF06_B1,2.997798901,-1.307658645,-1.436206259,73.60738105,60.69100841,-0.175476596,64.61398435
CF06_CM03_B1_QG,400,CM03_B1,CF06_B1,3.157396157,-0.542642774,-1.171864013,74.08617282,62.98605602,-0.149827105,64.61398435
CF08_CM05_B1_QG,400,CM05_B1,CF08_B1,3.664747826,-0.075254265,-1.020534637,75.52090151,64.30089524,-0.148568225,64.52665803
EF03_EM03_B1_QG,2600,EM03_B1,EF03_B1,4.29200934,-0.223426541,-1.052056397,75.29757567,61.75126803,-0.179903636,62.42154765
